Date,"First Punch-In Time","Last Punch-Out Time","Time in Office","Time in Timesheets"
2018-09-08,"Not Found","Not Found",0,0
2018-09-09,"Not Found","Not Found",0,0
2018-09-10,"Not Found","Not Found",0,0
2018-09-11,"Not Found","Not Found",0,0
2018-09-12,"Not Found","Not Found",0,0
2018-09-13,"Not Found","Not Found",0,0
2018-09-14,"Not Found","Not Found",0,0
2018-09-15,"Not Found","Not Found",0,0
2018-09-16,"Not Found","Not Found",0,0
2018-09-17,"Not Found","Not Found",0,0
2018-09-18,"Not Found","Not Found",0,0
2018-09-19,"Not Found","Not Found",0,0
2018-09-20,"Not Found","Not Found",0,0
2018-09-21,"Not Found","Not Found",0,0
2018-09-22,"Not Found","Not Found",0,0
2018-09-23,"Not Found","Not Found",0,0
2018-09-24,"Not Found","Not Found",0,0
2018-09-25,"Not Found","Not Found",0,0
2018-09-26,"Not Found","Not Found",0,0
2018-09-27,"Not Found","Not Found",0,0
2018-09-28,"Not Found","Not Found",0,0
2018-09-29,"Not Found","Not Found",0,0
2018-09-30,"Not Found","Not Found",0,0
2018-10-01,"Not Found","Not Found",0,0
2018-10-02,"Not Found","Not Found",0,0
2018-10-03,"Not Found","Not Found",0,0
2018-10-04,"Not Found","Not Found",0,0
2018-10-05,"Not Found","Not Found",0,0
2018-10-06,"Not Found","Not Found",0,0
2018-10-07,"Not Found","Not Found",0,0
2018-10-08,"Not Found","Not Found",0,0
2018-10-09,"Not Found","Not Found",0,0
2018-10-10,"Not Found","Not Found",0,0
2018-10-11,"Not Found","Not Found",0,0
2018-10-12,"Not Found","Not Found",0,0
2018-10-13,"Not Found","Not Found",0,0
2018-10-14,"Not Found","Not Found",0,0
2018-10-15,"Not Found","Not Found",0,0
2018-10-16,"Not Found","Not Found",0,0
2018-10-17,"Not Found","Not Found",0,0
2018-10-18,"Not Found","Not Found",0,0
2018-10-19,"Not Found","Not Found",0,0
2018-10-20,"Not Found","Not Found",0,0
2018-10-21,"Not Found","Not Found",0,0
2018-10-22,"Not Found","Not Found",0,0
2018-10-23,"Not Found","Not Found",0,0
2018-10-24,"Not Found","Not Found",0,0
2018-10-25,"Not Found","Not Found",0,0
2018-10-26,"Not Found","Not Found",0,0
2018-10-27,"Not Found","Not Found",0,0
2018-10-28,"Not Found","Not Found",0,0
2018-10-29,"Not Found","Not Found",0,0
2018-10-30,"Not Found","Not Found",0,0
2018-10-31,"Not Found","Not Found",0,0
2018-11-01,"Not Found","Not Found",0,0
2018-11-02,"Not Found","Not Found",0,0
2018-11-03,"Not Found","Not Found",0,0
2018-11-04,"Not Found","Not Found",0,0
2018-11-05,"Not Found","Not Found",0,0
2018-11-06,"Not Found","Not Found",0,0
2018-11-07,"Not Found","Not Found",0,0
2018-11-08,"Not Found","Not Found",0,0
2018-11-09,"Not Found","Not Found",0,0
2018-11-10,"Not Found","Not Found",0,0
2018-11-11,"Not Found","Not Found",0,0
2018-11-12,"Not Found","Not Found",0,0
2018-11-13,"Not Found","Not Found",0,0
2018-11-14,"Not Found","Not Found",0,0
2018-11-15,"Not Found","Not Found",0,0
